,text,,,,,,,,,,,,,,,,,
1,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),,,,,,,,,,,,,,,,0.14944027,
2,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,,,,,0.03046557,,,,,,,,,,,,
3,Send me yetty's number pls.,,,0.01400126,,,,,,,,,,,,,,
4,Hey so this sat are we going for the intro pilates only? Or the kickboxing too? ,,,,,,,,0.0213303,,,,,,,,,
5,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.,,,,,,,,,,,,,,,,,0.07331728
6,Hey we can go jazz power yoga hip hop kb and yogasana ,,,,,,0.01400145,,,,,,,,,,,
7,Hey mate. Spoke to the mag people. We‰Û÷re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. ,,,,,,,,,,,,0.0198364,,,,,
8,Morning only i can ok.,,,0.01400138,,,,,,,,,,,,,,
9,Wat time Ì_ finish?,,0.01400138,,,,,,,,,,,,,,,
10,Shant disturb u anymore... Jia you...,,,,0.0140012,,,,,,,,,,,,,
11,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,,,,,,,,,,,,,,,0.75708455,,
12,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,,,,,,,,,,,,0.7570856,,,,,
13,"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night",,,,,,,,,,,,0.01526741,,,,,
14,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,,,,,,,,,,,,,,0.7570856,,,
15,Unless it's a situation where YOU GO GURL would be more appropriate,,,,,,,0.01782784,,,,,,,,,,
16,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.,,,,,,,,,,,,0.08995471,,,,,
17,Bring tat cd don forget,,,0.0140012,,,,,,,,,,,,,,
18,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but",,,,,,,0.08105528,,,,,,,,,,
19,Jay's getting really impatient and belligerent,,,,,0.01400124,,,,,,,,,,,,
20,Lol they were mad at first but then they woke up and gave in.,,,,,,0.06996795,,,,,,,,,,,
